id,A,B,C,D,E,X,Y,Z,steps,timestamp,prev_location,location,usefor
1,-74,-66,-82,-71,-74,0.75,-0.09,9.78,3,1535907201,11,11,train
2,-85,-66,-77,-77,-67,0.76,-0.11,9.8,3,1535907206,11,11,train
3,-83,-62,-76,-69,-68,0.76,-0.1,9.8,3,1535907208,11,11,train
4,-87,-74,-87,-70,-66,-0.01,4.9,8.28,3,1535907230,11,10,train
5,-80,-74,-82,-83,-76,0.27,5.11,7.95,3,1535907237,10,15,train
6,-82,-72,-82,-72,-69,0.35,5.74,7.4,3,1535907253,15,9,train
7,-73,-80,-81,-75,-71,-0.11,4.34,9.32,3,1535907262,9,8,train
8,-66,-78,-80,-89,-74,-1.69,5.06,8.09,3,1535907270,8,4,train
9,-47,-76,-75,-83,-79,-1.29,6.07,5.57,3,1535907278,4,0,test
10,-65,-76,-76,-79,-86,-1,5.84,8.66,3,1535907286,0,1,train
11,-82,-75,-76,-86,-76,0.05,4.51,8.83,3,1535907292,1,1,train
12,-80,-75,-76,-86,-80,-1.87,5.6,6.94,3,1535907300,1,2,train
13,-82,-81,-59,-99,-80,0.06,6.18,7.57,3,1535907308,2,2,train
14,-79,-71,-78,-86,-78,0.4,4.68,8.16,3,1535907311,2,3,train
15,-85,-56,-64,-84,-76,0.79,4.78,8.32,3,1535907317,3,7,train
16,-74,-55,-67,-77,-81,0.46,3.5,8.61,3,1535907328,7,11,train
17,-77,-59,-63,-85,-87,0.59,4.7,8.89,3,1535907336,11,6,train
18,-71,-69,-72,-74,-85,-0.66,4.14,8.83,3,1535907345,6,6,train
19,-81,-73,-74,-81,-84,-0.15,2.66,9.22,3,1535907350,6,10,train
20,-72,-82,-77,-86,-82,0.11,4.46,8.31,3,1535907357,10,5,train
21,-62,-82,-75,-94,-78,0.31,4,8.1,3,1535907360,5,5,train
22,-70,-87,-75,-84,-82,1.03,4.94,8.51,3,1535907368,5,9,train
23,-88,-66,-80,-72,-68,0.12,3.88,8.65,3,1535907374,9,9,train
24,-89,-68,-80,-72,-76,0.24,3.59,9.45,3,1535907377,9,10,train
25,-93,-93,-92,-76,-72,0.86,4.23,8.44,3,1535907382,10,11,train
26,-88,-84,-90,-68,-72,1.02,3.81,8.47,3,1535907386,11,15,train
27,-90,-76,-82,-77,-78,1.39,3.3,9.13,3,1535907392,15,14,train
28,-81,-82,-81,-79,-78,-0.09,3.66,8.59,3,1535907397,14,13,train
29,-75,-75,-92,-75,-73,0.46,4.12,7.68,3,1535907400,13,13,test
30,-74,-78,-89,-76,-60,0.67,3.56,8.39,3,1535907404,13,9,train
31,-81,-82,-96,-85,-62,-2.1,3.57,8.86,3,1535907414,9,8,train
32,-78,-89,-86,-87,-58,-0.67,4.39,8.44,3,1535907419,8,12,train
33,-81,-76,-92,-78,-62,-0.06,7.97,5.34,3,1535907423,12,13,train
34,-82,-76,-89,-86,-72,-0.21,3.17,9.17,3,1535907427,13,12,train
35,-75,-82,-94,-88,-67,-0.11,5.24,7.64,3,1535907431,12,8,train
36,-65,-81,-92,-84,-74,-0.71,4.63,9.02,3,1535907437,8,8,train
37,-62,-78,-94,-90,-86,0.3,3.77,9.6,3,1535907441,8,4,train
38,-54,-82,-74,-87,-76,-0.25,3.17,9.2,3,1535907444,4,4,train
39,-59,-68,-79,-83,-78,-0.95,4.28,8.15,3,1535907448,4,0,train
40,-53,-65,-76,-84,-76,-0.94,4.5,8.4,3,1535907453,0,1,train
41,-64,-78,-79,-86,-89,0.2,4.45,9.56,3,1535907457,1,5,train
